Drug Name,Generic Name, Number of Prescribers , Number of Medicare Part D Claims , Number of Standardized 30-Day Part D Fills ,Aggregate Cost Paid for Part D Claims, Number of Medicare Beneficiaries , GE65 Suppression Flag , Number of Medicare Part D Claims for Beneficiaries 65+ , Number of Standardized 30-Day Part D Fills for Beneficiaries 65+ ,Aggregate Cost Paid for Part D Claims for Beneficiaries 65+, Beneficiary 65+ Suppression Flag , Number of Medicare Beneficiaries 65+ ,Aggregate Cost Share for Beneficiaries with Low Income Subsidy,Aggregate Cost Share for Beneficiaries with No Low Income Subsidy, Opioid Drug Flag ,Extended-Release Opioid Drug Flag, Antibiotic Drug Flag , Antipsychotic Drug Flag 
INSULIN SYRINGE,"SYRINGE W-NDL, DISP., INSULIN",75,381,455.8,6417.94,132,,283,348.8,4721.53,,95,38.99,256.93,N,N,N,N
INSULIN SYRINGE,"SYRINGE W-O NEEDL,INSULIN,1 ML",163,416,539.0,4976.51,177,,272,374.5,3056.94,,122,291.57,672.04,N,N,N,N
INSULIN SYRINGE,"SYRINGE-NEEDLE,INSULIN,0.5 ML",136277,1057611,1753909.9,28725934.84,340678,,816251,1392725,22089625.27,,261176,1215507.10,7393993.93,N,N,N,N
INSULIN SYRINGE U-500,"SYRINGE NDL,INSUL U-500,0.5ML",68,72,120.8,2847.37,70,,36,57.8,1420.70,,36,8.60,483.41,N,N,N,N
INSUMED,"SYRING-NEEDL,DISP,INSUL,0.3 ML",55,269,294.2,6410.14,77,,212,227.3,4666.27,,57,0.00,241.26,N,N,N,N
INSUPEN,"PEN NEEDLE, DIABETIC",2468,10089,13769.8,196351.24,3447,,7198,10016.7,137922.92,,2473,11833.80,36262.36,N,N,N,N
INTEGRA F,"IRON FUM,PS/FOLIC ACID/VITC/B3",,22,32.0,551.46,12,#,,,,#,,0.00,0.00,N,N,N,N
INTEGRA SYRINGE,"SYRINGE AND NEEDLE,INSULIN,1ML",31,63,102.5,2213.57,30,,45,72.8,1466.26,#,,56.58,225.89,N,N,N,N
INTEGRA SYRINGE,"SYRINGE,SAFETY WITH NEEDLE,1ML",115,170,261.7,1016.06,115,,110,183.1,440.94,,78,113.66,396.20,N,N,N,N
INTELENCE,ETRAVIRINE,5430,91425,95841.6,103647576.76,10577,,22532,24501.6,26414861.61,,2649,136265.64,1381163.97,N,N,N,N
INTERMEZZO,ZOLPIDEM TARTRATE,807,2558,3003.2,889505.22,771,,1745,2112.1,619691.69,,585,2586.16,151887.51,N,N,N,N
INTRALIPID,FAT EMULSIONS,1017,20095,20095.2,5600474.29,1248,,12943,12943.2,3629746.82,,813,14687.82,334780.64,N,N,N,N
INTRON A,"INTERFERON ALFA-2B,RECOMB.",671,3631,3794.0,5812031.27,884,,3178,3324,4936393.82,,781,4903.72,672784.82,N,N,N,N
INTROVALE,LEVONORGESTREL-ETHIN ESTRADIOL,628,1323,3886.7,84930.62,588,*,,,,*,,1009.84,3424.01,N,N,N,N
INTUNIV,GUANFACINE HCL,260,963,1081.5,337842.23,236,,44,50.1,12599.77,,15,1575.45,3776.75,N,N,N,N
INVANZ,ERTAPENEM SODIUM,18968,93460,93486.7,52690684.08,36716,,66498,66507.1,36638596.52,,28445,216436.62,4620003.89,N,N,Y,N
INVEGA,PALIPERIDONE,13233,119384,123806.9,135669760.00,17523,,19343,19986.4,17947387.40,,2458,149326.52,405936.65,N,N,N,Y
INVEGA SUSTENNA,PALIPERIDONE PALMITATE,20084,430466,432225.5,762395534.30,54813,,47501,47813.6,76411759.49,,6191,1136697.77,2233839.44,N,N,N,Y
INVEGA TRINZA,PALIPERIDONE PALMITATE,3970,26226,72638.2,139052861.39,9221,,1966,5341.9,9553478.11,,705,60328.52,179190.98,N,N,N,Y
INVIRASE,SAQUINAVIR MESYLATE,465,4191,4443.5,4871249.77,480,,1444,1600,1729297.84,,167,5581.65,115845.12,N,N,N,N
INVOKAMET,CANAGLIFLOZIN/METFORMIN HCL,12962,91638,126228.0,45254376.94,20677,,63356,89779.3,31950820.62,,14576,203504.33,4014770.27,N,N,N,N
INVOKAMET XR,CANAGLIFLOZIN/METFORMIN HCL,319,459,660.7,219296.04,358,,331,476.4,158589.05,,257,752.66,20780.46,N,N,N,N
INVOKANA,CANAGLIFLOZIN,81720,1135308,1613172.7,608853776.96,233132,,804181,1181777.4,444040489.62,,169981,2279134.55,52300466.70,N,N,N,N
IOPIDINE,APRACLONIDINE HCL,101,328,370.7,119077.82,136,,292,328.7,99623.64,,125,1026.94,10279.15,N,N,N,N
IPRATROPIUM BROMIDE,IPRATROPIUM BROMIDE,106662,1046047,1277129.3,27350929.71,397843,,934736,1151955.9,24746520.51,,359886,292456.65,8301239.59,N,N,N,N
IPRATROPIUM-ALBUTEROL,IPRATROPIUM/ALBUTEROL SULFATE,49561,929236,931772.7,20291815.99,274011,,822727,824863.2,17795195.42,,246538,185514.03,1504666.53,N,N,N,N
IRBESARTAN,IRBESARTAN,123373,1703930,3331888.3,37359937.30,342237,,1580140,3136022.6,35176340.41,,319810,374452.42,13408749.39,N,N,N,N
IRBESARTAN-HYDROCHLOROTHIAZIDE,IRBESARTAN/HYDROCHLOROTHIAZIDE,47273,384498,747350.3,11040932.56,80351,,352926,698078.6,10311663.94,,74437,84419.99,3530080.08,N,N,N,N
IRESSA,GEFITINIB,462,2431,2439.0,17240821.28,531,,2326,2334,16483071.67,,511,12138.38,864853.94,N,N,N,N
IRINOTECAN HCL,IRINOTECAN HCL,142,1293,1299.3,468240.78,266,,1071,1073.7,418066.55,,222,814.96,21009.59,N,N,N,N
ISENTRESS,RALTEGRAVIR POTASSIUM,11437,270797,283634.8,358835788.98,31882,,75486,82059,102875599.24,,8888,488277.93,5125146.78,N,N,N,N
ISONIAZID,ISONIAZID,12708,58278,73301.6,493033.55,16500,,39948,51288.5,354821.88,,11629,30297.34,105547.21,N,N,N,N
ISOPTO CARPINE,PILOCARPINE HCL,855,2080,2981.6,184496.47,986,,1947,2817.7,172773.54,,935,2721.14,55513.88,N,N,N,N
ISORDIL,ISOSORBIDE DINITRATE,547,1565,2307.1,2692141.86,502,,1261,1900.1,2183511.30,,385,3943.31,60444.84,N,N,N,N
ISORDIL TITRADOSE,ISOSORBIDE DINITRATE,,16,17.0,4447.15,,#,,,,#,,43.20,72.55,N,N,N,N
ISOSORBIDE DINITRATE,ISOSORBIDE DINITRATE,98193,716251,1031503.4,48167729.91,148914,,614216,894985.5,41480911.05,,126132,509670.00,5335639.83,N,N,N,N
ISOSORBIDE MONONITRATE,ISOSORBIDE MONONITRATE,32783,197754,292929.8,2972824.24,39316,,175595,262057.6,2669267.83,,34403,105496.46,766413.90,N,N,N,N
ISOSORBIDE MONONITRATE ER,ISOSORBIDE MONONITRATE,256135,5945537,9730402.2,96731323.57,1129369,,5197846,8638087.6,86098160.73,,986419,3060831.19,30401056.85,N,N,N,N
ISRADIPINE,ISRADIPINE,4081,20201,37043.9,2488573.75,4070,,18913,35258.1,2366589.78,,3805,9441.09,513493.01,N,N,N,N
ISTALOL,TIMOLOL MALEATE,5374,29236,44633.7,8023184.85,8700,,28271,43323.4,7792609.60,,8396,30045.32,1564294.79,N,N,N,N
ISTODAX,ROMIDEPSIN,,15,15.0,401570.19,,*,,,,*,,14.60,4851.82,N,N,N,N
ITRACONAZOLE,ITRACONAZOLE,9038,30081,34659.6,11087883.65,10666,,20382,23757.4,7084548.54,,7746,37755.20,1392251.69,N,N,N,N
IV PREP WIPES,ALCOHOL ANTISEPTIC PADS,37,57,107.3,995.72,38,,41,85,816.96,#,,26.37,217.54,N,N,N,N
IVERMECTIN,IVERMECTIN,20128,59170,59538.1,2074618.34,41063,,45327,45590.7,1537163.95,,31842,19911.39,358150.60,N,N,N,N
IXEMPRA,IXABEPILONE,11,29,29.2,143821.23,11,,13,13.2,80050.97,*,,40.20,7175.89,N,N,N,N
IXIARO,JAPANESE ENCEPHALITIS VACC/PF,203,464,466.0,132229.67,298,,433,435,123278.09,,278,173.00,29661.65,N,N,N,N
JADENU,DEFERASIROX,1803,12754,13105.4,114616344.02,2366,,6223,6425.3,50541324.90,,1114,49157.63,3196489.04,N,N,N,N
JAKAFI,RUXOLITINIB PHOSPHATE,4676,50408,51549.2,537266005.42,6700,,46828,47925,498806496.59,,6161,265164.79,26387633.72,N,N,N,N
JALYN,DUTASTERIDE/TAMSULOSIN HCL,9194,42157,60432.5,9829011.32,12917,,40021,57780.1,9396448.54,,12269,55272.37,1905625.76,N,N,N,N
JANTOVEN,WARFARIN SODIUM,93781,1098793,1764918.0,12433156.73,191405,,1003624,1632102.5,11480532.19,,176806,230280.93,4475902.44,N,N,N,N
JANUMET,SITAGLIPTIN PHOS/METFORMIN HCL,92288,1082437,1658587.7,556575008.63,204676,,904012,1414640,472220896.86,,172079,2194139.71,47903991.94,N,N,N,N
JANUMET XR,SITAGLIPTIN PHOS/METFORMIN HCL,42796,350088,534641.8,172788260.69,73805,,283634,443550.2,142341719.93,,60251,729824.74,16734086.43,N,N,N,N
JANUVIA,SITAGLIPTIN PHOSPHATE,206223,4742505,7089396.5,2440013513.00,864442,,3985728,6057952.2,2077050894.20,,729415,9836470.20,189451545.25,N,N,N,N
JARDIANCE,EMPAGLIFLOZIN,26296,192084,271699.2,101413805.36,49719,,142720,207670.9,77261218.29,,37639,344998.69,9555466.64,N,N,N,N
JENCYCLA,NORETHINDRONE,239,971,1113.9,9323.18,229,,39,48,441.00,*,,1414.76,1373.41,N,N,N,N
JENTADUETO,LINAGLIPTIN/METFORMIN HCL,17746,147377,204524.4,67798873.33,27553,,116779,164123.7,54044564.38,,21931,348779.57,4156420.49,N,N,N,N
JENTADUETO XR,LINAGLIPTIN/METFORMIN HCL,454,794,1138.1,383662.70,491,,619,903,303077.85,,388,1542.40,28468.45,N,N,N,N
JEVANTIQUE LO,NORETHINDRONE AC-ETH ESTRADIOL,463,1416,2588.0,195743.79,446,,1170,2230.3,167176.72,,369,317.71,53160.88,N,N,N,N
JEVTANA,CABAZITAXEL,47,251,251.0,2680072.97,56,,217,217,2345082.99,#,,1869.78,56740.58,N,N,N,N
JINTELI,NORETHINDRONE AC-ETH ESTRADIOL,4309,18543,29555.9,1759791.83,4456,,13068,22149.5,1297973.42,,3256,9205.11,625886.09,N,N,N,N
JOLESSA,LEVONORGESTREL-ETHIN ESTRADIOL,1211,2775,8172.8,193983.39,1108,*,,,,*,,2947.69,10251.98,N,N,N,N
JOLIVETTE,NORETHINDRONE,2105,7072,10347.9,167211.89,1994,,260,480.9,8348.62,,90,8686.24,20256.17,N,N,N,N
JUBLIA,EFINACONAZOLE,13772,41925,51585.8,34564695.51,18743,,34976,43757.9,29127804.56,,15986,44658.75,2649485.27,N,N,N,N
JULEBER,DESOGESTREL-ETHINYL ESTRADIOL,728,2919,3822.0,57261.67,660,*,,,,*,,2470.30,3111.44,N,N,N,N
JUNEL,NORETHINDRONE AC-ETH ESTRADIOL,2331,9536,12228.4,230221.59,2169,,107,160.7,3291.13,,33,8113.24,19553.88,N,N,N,N
JUNEL FE,NORETHINDRONE-E.ESTRADIOL-IRON,4581,20576,25970.3,454087.73,4513,,119,174.2,3434.82,,30,18920.37,28659.10,N,N,N,N
JUNEL FE 24,NORETHINDRONE-E.ESTRADIOL-IRON,58,177,243.0,14114.46,54,,0,0,0.00,,0,218.92,703.21,N,N,N,N
JUXTAPID,LOMITAPIDE MESYLATE,130,992,994.0,33309214.14,145,,622,622,20700100.00,,92,23568.31,904954.07,N,N,N,N
K EFFERVESCENT,POTASSIUM BICARBONATE/CIT AC,884,1918,2629.2,71816.08,875,,1600,2251,55654.80,,755,939.84,20520.82,N,N,N,N
K-PHOS NEUTRAL,"SOD PHOS DI, MONO/K PHOS MONO",800,2056,2759.4,100058.13,818,,1375,1972,62433.98,,561,1493.93,19401.64,N,N,N,N
K-PHOS NO.2,"SOD PHOS,M-B/K PHOS,MONOB",74,203,243.6,14100.17,65,,156,194.5,10393.95,,52,136.91,2852.46,N,N,N,N
K-PHOS ORIGINAL,"POTASSIUM PHOSPHATE,MONOBASIC",1193,4110,5022.5,161237.93,1205,,3022,3761.9,118499.01,,906,2568.52,51818.43,N,N,N,N
K-TAB ER,POTASSIUM CHLORIDE,14743,241598,636078.2,8380232.69,81310,,227624,603160.5,7883511.85,,76368,75440.71,3372520.38,N,N,N,N
KABIVEN,AA 3.31 %/D9.8W/FAT/ELECT #10,18,115,115.0,32720.72,18,,29,29,8838.39,*,,167.30,3660.16,N,N,N,N
KADCYLA,ADO-TRASTUZUMAB EMTANSINE,42,337,337.0,2273138.38,44,,213,213,1519561.45,,27,110.00,63676.13,N,N,N,N
KADIAN,MORPHINE SULFATE,1571,7190,7278.0,9243499.02,1277,,2237,2279,1968473.37,,433,18536.30,196177.84,Y,N,N,N
KALBITOR,ECALLANTIDE,64,565,565.0,14744063.38,74,,130,130,3071782.40,,21,83.60,304289.52,N,N,N,N
KALETRA,LOPINAVIR/RITONAVIR,4617,54842,57508.7,52048873.15,6961,,14941,16116.3,14351875.92,,1900,124335.39,1004223.91,N,N,N,N
KALYDECO,IVACAFTOR,146,1333,1352.6,32374481.85,157,,156,165,3976420.45,,15,23114.89,550216.51,N,N,N,N
KAPVAY,CLONIDINE HCL,26,99,109.0,52593.30,25,*,,,,*,,366.77,107.25,N,N,N,N
KARBINAL ER,CARBINOXAMINE MALEATE,40,121,127.6,42845.81,52,,77,81.6,26594.34,,37,109.20,3046.73,N,N,N,N
KARIVA,DESOG-E.ESTRADIOL/E.ESTRADIOL,470,2447,3060.6,85256.99,424,,26,31.4,771.70,*,,2186.92,5499.52,N,N,N,N
KAYEXALATE,SODIUM POLYSTYRENE SULFONATE,36,41,45.6,22137.90,37,#,,,,#,,37.60,784.81,N,N,N,N
KAZANO,ALOGLIPTIN BENZ/METFORMIN HCL,1196,5442,7568.5,2449930.41,1375,,4562,6457.5,2079991.00,,1157,11122.13,220500.44,N,N,N,N
KEFLEX,CEPHALEXIN,255,358,393.1,114468.06,224,,312,346.1,98649.55,,200,1173.57,13776.81,N,N,Y,N
KELNOR 1-35,ETHYNODIOL D-ETHINYL ESTRADIOL,691,3303,4750.2,93506.11,590,,77,91.2,1577.83,*,,2963.06,10108.49,N,N,N,N
KENALOG,TRIAMCINOLONE ACETONIDE,290,581,617.6,406445.46,312,,430,453.5,302829.60,,248,1293.28,35079.20,N,N,N,N
KENALOG-10,TRIAMCINOLONE ACETONIDE,233,477,507.9,10047.12,343,,391,417,8398.92,,275,217.83,3351.04,N,N,N,N
KENALOG-40,TRIAMCINOLONE ACETONIDE,5702,27719,28140.7,512798.96,21302,,21948,22291.8,402868.93,,16788,8478.39,146622.57,N,N,N,N
KEPPRA,LEVETIRACETAM,7091,71900,91389.3,84415027.56,8753,,21643,30552.9,21999393.03,,3153,108137.82,2283034.36,N,N,N,N
KEPPRA XR,LEVETIRACETAM,2506,23317,30042.2,24575418.31,2998,,7938,11378.4,6956649.20,,1156,46971.50,872492.84,N,N,N,N
KERALYT SCALP,SALICYLIC ACID,,12,12.0,970.14,,,12,12,970.14,*,,0.00,20.00,N,N,N,N
KERYDIN,TAVABOROLE,3765,12276,13997.5,15724212.23,6256,,10815,12446.2,13912313.77,,5564,10517.08,679882.05,N,N,N,N
KETOCONAZOLE,KETOCONAZOLE,199852,2073029,2189346.2,81599843.24,1026253,,1574594,1672739.8,62791856.24,,824292,975493.31,11791811.79,N,N,N,N
KETOPROFEN,KETOPROFEN,7411,26619,34503.6,7333139.47,11011,,18581,25543.7,5183958.65,,7707,25992.26,480310.81,N,N,N,N
KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,78688,1057982,1153408.3,28453071.16,626801,,934795,1023526.4,25373662.59,,555499,488317.09,10415250.29,N,N,N,N
KEVEYIS,DICHLORPHENAMIDE,,14,16.0,197031.41,,*,,,,*,,18.40,162.00,N,N,N,N
KEYTRUDA,PEMBROLIZUMAB,67,452,453.1,4230078.99,88,,347,348.1,3197774.51,,69,96.60,134380.85,N,N,N,N
KHEDEZLA,DESVENLAFAXINE,76,294,371.1,129047.80,74,,140,197,65181.00,,43,1012.51,11546.27,N,N,N,N
KIMIDESS,DESOG-E.ESTRADIOL/E.ESTRADIOL,69,296,347.3,9385.28,59,*,,,,*,,272.95,849.61,N,N,N,N
KINERET,ANAKINRA,397,2455,2621.0,10858650.70,388,,1283,1367.5,5173913.26,,197,1319.00,323520.44,N,N,N,N
KINRIX,"DIPH,PERTUS(ACEL),TET,POLIO/PF",25,34,34.0,2344.94,28,,23,23,1461.49,#,,18.00,1086.60,N,N,N,N
KIONEX,SODIUM POLYSTYRENE SULFON/SORB,30035,105595,111476.5,5610165.34,57401,,84200,89146.7,4399087.50,,45728,66219.33,799078.61,N,N,N,N
KIONEX,SODIUM POLYSTYRENE SULFONATE,1439,3185,4069.9,319828.16,1733,,2690,3476.6,274431.21,,1454,1664.11,37760.95,N,N,N,N
KLARON,SULFACETAMIDE SODIUM,15,17,19.0,4640.66,15,#,,,,#,,4.80,724.42,N,N,N,N
KLONOPIN,CLONAZEPAM,2655,12248,14502.0,2726943.81,2214,,6961,8678.6,1478336.88,,1419,17632.53,351962.28,N,N,N,N
KLOR-CON,POTASSIUM CHLORIDE,10446,26912,38166.9,8831385.76,10820,,22629,32830.5,7364058.05,,9041,21303.96,428152.15,N,N,N,N
KLOR-CON 10,POTASSIUM CHLORIDE,105612,685952,1104802.2,17962863.72,205386,,598568,979615.1,15792572.27,,178877,399487.35,6330904.12,N,N,N,N
KLOR-CON 8,POTASSIUM CHLORIDE,30138,183771,317085.1,5414910.82,49382,,161196,284596.8,4839738.08,,43662,113690.30,1602840.10,N,N,N,N
KLOR-CON M10,POTASSIUM CHLORIDE,106268,732048,1195492.3,16316467.58,215098,,644465,1072727.9,14571997.07,,189848,362272.24,5940192.76,N,N,N,N
KLOR-CON M15,POTASSIUM CHLORIDE,2621,8974,14127.7,573396.21,2516,,7486,12178,482280.74,,2102,5776.20,120507.09,N,N,N,N
KLOR-CON M20,POTASSIUM CHLORIDE,189931,1859163,2964122.6,43517319.97,515803,,1568104,2559600.3,37429893.19,,438085,1041256.71,14813764.57,N,N,N,N
KLOR-CON SPRINKLE,POTASSIUM CHLORIDE,40478,188976,248088.0,7552299.44,74127,,167248,221299.8,6695696.81,,65782,62286.14,1251885.51,N,N,N,N
KLOR-CON-EF,POTASSIUM BICARBONATE/CIT AC,1978,5575,9314.6,251562.09,1976,,4968,8499.4,220495.38,,1731,1960.07,69726.60,N,N,N,N
KOMBIGLYZE XR,SAXAGLIPTIN HCL/METFORMIN HCL,20040,143833,214798.5,73037642.30,27563,,121469,184649.8,62510472.27,,23262,249278.97,7913312.06,N,N,N,N
KORLYM,MIFEPRISTONE,144,1086,1086.0,23077221.26,187,,597,597,10930751.51,,105,2465.54,615853.08,N,N,N,N
KRISTALOSE,LACTULOSE,4660,12769,15708.3,5116848.10,5114,,8724,11074.6,3382402.89,,3668,13062.67,412888.40,N,N,N,N
KRYSTEXXA,PEGLOTICASE,40,183,188.8,5137051.47,50,,87,92.8,2423894.77,,22,83.60,120889.35,N,N,N,N
KURVELO,LEVONORGESTREL-ETHIN ESTRADIOL,304,1339,1677.7,15049.75,261,*,,,,*,,1501.39,1682.93,N,N,N,N
KUVAN,SAPROPTERIN DIHYDROCHLORIDE,107,1746,1796.0,22322835.92,152,,141,143,1231788.01,,11,3142.93,139632.59,N,N,N,N
KYNAMRO,MIPOMERSEN SODIUM,17,127,127.0,3019929.25,18,,68,68,1644396.82,*,,9355.59,82800.72,N,N,N,N
L-CYSTEINE,CYSTEINE HCL,,25,25.0,3695.50,,,0,0,0.00,,0,30.00,0.00,N,N,N,N
LABETALOL HCL,LABETALOL HCL,140194,1322262,2118401.9,52770239.95,247871,,1046250,1747826.1,41744575.38,,196902,807477.77,10870354.98,N,N,N,N
LAC-HYDRIN,AMMONIUM LACTATE,74,90,92.0,2916.09,76,,62,64,2016.34,,54,116.89,321.29,N,N,N,N
LACRISERT,HYDROXYPROPYL CELLULOSE,1198,4544,6055.9,2710642.25,1362,,3979,5363.4,2368291.23,,1179,3997.76,443047.22,N,N,N,N
LACTATED RINGERS,"RINGERS SOLUTION,LACTATED",1077,5922,5942.2,174416.59,1688,,3252,3264.1,90020.19,,1304,3411.65,15443.80,N,N,N,N
LACTULOSE,LACTULOSE,168888,1580825,1670168.4,27564519.22,449385,,1103353,1170969.7,18612085.49,,332724,637027.31,3614663.97,N,N,N,N
LAMICTAL,LAMOTRIGINE,7179,73945,92424.9,94521788.24,8327,,16836,23703.7,20263787.03,,2312,114394.25,1958509.99,N,N,N,N
LAMICTAL (BLUE),LAMOTRIGINE,47,50,51.7,19221.74,48,*,,,,*,,513.45,983.98,N,N,N,N
LAMICTAL (GREEN),LAMOTRIGINE,67,70,75.6,72379.22,68,,22,23.2,23155.33,,21,515.14,2121.89,N,N,N,N
LAMICTAL (ORANGE),LAMOTRIGINE,392,443,474.9,231486.53,427,,90,93,47324.53,,88,1496.80,10564.24,N,N,N,N
LAMICTAL ODT,LAMOTRIGINE,747,4704,5468.5,4035479.78,673,,1039,1316.6,774814.18,,172,4855.15,96749.15,N,N,N,N
LAMICTAL ODT (ORANGE),LAMOTRIGINE,24,26,27.2,11474.46,25,*,,,,*,,48.10,827.35,N,N,N,N
LAMICTAL XR,LAMOTRIGINE,2172,22648,28770.8,39184384.67,2580,,5751,8370.7,9077159.27,,788,29640.94,862045.15,N,N,N,N
LAMICTAL XR (ORANGE),LAMOTRIGINE,42,44,45.7,20679.99,43,,20,20.8,9182.00,,20,140.80,2199.25,N,N,N,N
LAMISIL,TERBINAFINE HCL,133,228,280.8,173700.90,134,,174,218.8,138971.03,,101,535.96,8192.41,N,N,N,N
LAMIVUDINE,LAMIVUDINE,7062,77199,88674.3,14670779.24,10845,,32027,38524.7,6213827.38,,4555,44485.92,528616.41,N,N,N,N
LAMIVUDINE HBV,LAMIVUDINE,3168,18426,24212.6,6163924.38,3276,,9453,13466.3,3486981.75,,1734,24191.72,315487.66,N,N,N,N
LAMIVUDINE-ZIDOVUDINE,LAMIVUDINE/ZIDOVUDINE,3953,42194,46067.3,14357611.50,5309,,15459,17914.5,5737515.73,,2009,47997.54,464191.77,N,N,N,N
LAMOTRIGINE,LAMOTRIGINE,161723,3549364,4504546.4,43480244.83,477786,,1202488,1714434.4,17345255.37,,178755,2427639.27,9163963.62,N,N,N,N
LAMOTRIGINE ER,LAMOTRIGINE,11932,86170,108981.3,43954401.35,14084,,28133,39606.3,13696572.70,,5239,97630.34,1637570.39,N,N,N,N
LAMOTRIGINE ODT,LAMOTRIGINE,2982,11198,13100.8,5496645.56,2829,,3486,4388.5,1586477.58,,952,11307.15,100589.86,N,N,N,N
LAMOTRIGINE ODT (BLUE),LAMOTRIGINE,19,19,19.0,4442.97,19,*,,,,*,,14.85,391.69,N,N,N,N
LAMOTRIGINE ODT (ORANGE),LAMOTRIGINE,121,127,139.7,45345.59,125,,37,44.1,13174.61,,37,274.85,1517.20,N,N,N,N
LANOXIN,DIGOXIN,5144,22983,34711.9,6970159.07,5202,,21465,32700.1,6575649.86,,4825,42098.40,1224314.88,N,N,N,N
LANSOPRAZOL-AMOXICIL-CLARITHRO,LANSOPRAZOLE/AMOXICILN/CLARITH,5616,8067,8169.8,3978260.13,7867,,6407,6485.5,3187769.80,,6264,10537.12,171703.79,N,N,N,N
LANSOPRAZOLE,LANSOPRAZOLE,151331,1390484,2341530.5,61503622.54,337633,,1146298,2004917.2,52346797.96,,281405,703781.04,17646827.76,N,N,N,N
LANTUS,"INSULIN GLARGINE,HUM.REC.ANLOG",217211,3596867,4651658.4,1687769465.60,671352,,2751210,3586564.5,1249474479.20,,507685,8315296.74,120869854.14,N,N,N,N
LANTUS SOLOSTAR,"INSULIN GLARGINE,HUM.REC.ANLOG",245447,5028485,7994571.6,2526048765.70,1075248,,3821148,6218965.5,1871970840.10,,821751,12193078.48,232776111.87,N,N,N,N
LARIN,NORETHINDRONE AC-ETH ESTRADIOL,379,1030,1315.7,24287.22,364,*,,,,*,,752.29,1850.54,N,N,N,N
LARIN 24 FE,NORETHINDRONE-E.ESTRADIOL-IRON,68,219,316.8,15349.91,63,,0,0,0.00,,0,206.63,291.89,N,N,N,N
LARIN FE,NORETHINDRONE-E.ESTRADIOL-IRON,1686,6266,7928.8,131668.07,1602,,43,55.6,979.48,,13,6284.29,8875.25,N,N,N,N
LASIX,FUROSEMIDE,6433,21938,35682.7,1198686.61,6039,,20140,33151,1098093.47,,5519,23779.47,403343.75,N,N,N,N
LASTACAFT,ALCAFTADINE,6969,23815,26310.2,4807417.21,10001,,19649,21883.6,3989981.26,,8648,37600.08,534950.61,N,N,N,N
LATANOPROST,LATANOPROST,145020,8157065,11448972.0,120289080.80,1561884,,7674250,10853522.4,113940243.41,,1469139,2745187.84,48614399.01,N,N,N,N
LATISSE,BIMATOPROST,12,16,24.1,2214.95,11,#,,,,#,,0.00,2214.95,N,N,N,N
LATUDA,LURASIDONE HCL,45747,739177,778451.9,783342030.47,108575,,127332,136432.7,116051625.94,,17016,1733202.78,6688783.46,N,N,N,Y
LAYOLIS FE,NORETH-ETHINYL ESTRADIOL/IRON,61,288,382.0,30612.15,53,,0,0,0.00,,0,703.32,634.09,N,N,N,N
LAZANDA,FENTANYL CITRATE,145,646,649.1,9687921.69,183,,250,250,3787851.98,,102,5815.51,281836.51,Y,N,N,N
LEENA,NORETHINDRONE-ETHINYL ESTRAD,73,371,478.8,11476.85,64,*,,,,*,,308.75,974.65,N,N,N,N
LEFLUNOMIDE,LEFLUNOMIDE,21427,452506,686499.6,83127835.64,91498,,337203,528411.9,63193944.51,,68490,335182.19,7297242.62,N,N,N,N
LEMTRADA,ALEMTUZUMAB,44,88,205.0,7099197.58,81,*,,,,*,,8213.67,152542.71,N,N,N,N
LENVIMA,LENVATINIB MESYLATE,644,3962,4000.1,54339754.10,803,,3151,3180.1,43061798.36,,661,16814.18,2239508.08,N,N,N,N
LESCOL,FLUVASTATIN SODIUM,100,199,250.2,39466.49,96,,187,238.2,37793.73,#,,273.05,8725.56,N,N,N,N
LESCOL XL,FLUVASTATIN SODIUM,2151,9550,16104.4,4038475.25,2121,,9176,15551.2,3893883.86,,2045,9832.10,813047.96,N,N,N,N
LESSINA,LEVONORGESTREL-ETHIN ESTRADIOL,314,1228,1551.1,24184.41,286,,12,12,150.15,*,,1137.21,1877.87,N,N,N,N
LETAIRIS,AMBRISENTAN,2647,66116,66978.3,574433058.58,7736,,42172,42862.1,367684092.71,,5019,365064.70,20212107.64,N,N,N,N
LETROZOLE,LETROZOLE,32983,604917,1034515.7,14967806.15,120565,,549016,952842,13827738.91,,109634,256439.49,5384193.67,N,N,N,N
LEUCOVORIN CALCIUM,LEUCOVORIN CALCIUM,7134,91885,148542.4,3869993.63,20398,,72098,120971.3,2640045.10,,16075,29915.04,925143.32,N,N,N,N
LEUKERAN,CHLORAMBUCIL,2676,12651,13768.9,10353334.78,3469,,12146,13227.7,9831368.38,,3352,36010.16,1486543.65,N,N,N,N
LEUKINE,SARGRAMOSTIM,114,1462,1525.1,8135999.73,281,,1324,1387.1,6967175.86,,244,2882.94,508979.72,N,N,N,N
LEUPROLIDE ACETATE,LEUPROLIDE ACETATE,37,119,140.8,112621.88,43,,51,65.6,44626.78,,17,45.85,6848.19,N,N,N,N
LEVALBUTEROL CONCENTRATE,LEVALBUTEROL HCL,240,637,639.2,137079.12,256,,540,542.2,111588.89,,212,781.75,7313.01,N,N,N,N
LEVALBUTEROL HCL,LEVALBUTEROL HCL,7849,41509,42010.7,5221551.46,10346,,35616,36046.9,4337001.44,,9012,30262.62,256093.52,N,N,N,N
